,model,dataset,accuracy,precision,recall,F1 score,N,chunk_size
0,SVM,train,0.8790341291385351,0.8782095639737048,0.8790341291385351,0.8780918818520298,2,10
1,SVM,test,0.8754502479626461,0.8744313596563821,0.8754502479626461,0.8743191529420491,2,10
0,kNN,train,0.9277684972506438,0.9276366265461924,0.9277684972506438,0.9266945670176148,2,10
1,kNN,test,0.8937733824425046,0.8931766800982412,0.8937733824425046,0.8917231411293342,2,10
0,decision tree,train,0.9997273845154405,0.9997274901796125,0.9997273845154405,0.9997273921821208,2,10
1,decision tree,test,0.8536411356979206,0.852717240142756,0.8536411356979206,0.8529454489153162,2,10
0,SVM,train,0.9738521148001207,0.9737923862687897,0.9738521148001207,0.9738014137644728,2,20
1,SVM,test,0.9680405554331056,0.9679711244633814,0.9680405554331056,0.967989878164866,2,20
0,kNN,train,0.9524256977796339,0.9528218707819135,0.9524256977796339,0.9515625361156342,2,20
1,kNN,test,0.9275083233762166,0.9281064273089032,0.9275083233762166,0.9259150864651838,2,20
0,decision tree,train,1.0,1.0,1.0,1.0,2,20
1,decision tree,test,0.8883101516188532,0.8882027606415653,0.8883101516188532,0.8881296502547409,2,20
0,SVM,train,0.9998259911255474,0.9998260366214025,0.9998259911255474,0.9998257631946635,2,50
1,SVM,test,0.9924596154403874,0.9924619822676997,0.9924596154403874,0.9924598725461651,2,50
0,kNN,train,0.9703024854267568,0.9706630145420634,0.9703024854267568,0.9694258663397467,2,50
1,kNN,test,0.9543516719352687,0.9555815605485336,0.9543516719352687,0.9529636282902483,2,50
0,decision tree,train,1.0,1.0,1.0,1.0,2,50
1,decision tree,test,0.9421710507235869,0.941750159772013,0.9421710507235869,0.9418809384209742,2,50
